,Patient,Concentration,Culture,Replicate,Treatment,Plate,Apoptosis
0,27,0,PDOF,A,AH,CSF,1.235981150650074
1,27,0,PDOF,B,AH,CSF,0.7204780240356174
2,27,0,PDOF,C,AH,CSF,1.0435408253143086
3,27,4,PDOF,A,F,CSF,0.798200029621743
4,27,4,PDOF,B,F,CSF,1.455786083233547
5,27,4,PDOF,C,F,CSF,0.8873460843015811
6,27,0,PDO,A,AH,CSF,1.0506542421907794
7,27,0,PDO,B,AH,CSF,0.8675499326607289
8,27,0,PDO,C,AH,CSF,1.0817958251484916
9,27,4,PDO,A,F,CSF,2.216354912003046
10,27,4,PDO,B,F,CSF,5.51107242722902
11,27,4,PDO,C,F,CSF,3.16121672395544
12,21,0,PDOF,A,AH,CSF,1.4424524155234504
13,21,0,PDOF,B,AH,CSF,0.3958697875026271
14,21,0,PDOF,C,AH,CSF,1.1616777969739223
15,21,4,PDOF,A,F,CSF,0.4916671246946808
16,21,4,PDOF,B,F,CSF,0.3495566061205181
17,21,4,PDOF,C,F,CSF,0.3648047900472163
18,21,0,PDO,A,AH,CSF,0.9299708112356292
19,21,0,PDO,B,AH,CSF,0.7398156040088517
20,21,0,PDO,C,AH,CSF,1.3302135847555188
21,21,4,PDO,A,F,CSF,2.0062006534028627
22,21,4,PDO,B,F,CSF,2.4763365631914898
23,21,4,PDO,C,F,CSF,2.4226446509372437
24,75,0,PDOF,A,AH,CSF,1.1839768693196597
25,75,0,PDOF,B,AH,CSF,0.4256989149523733
26,75,0,PDOF,C,AH,CSF,1.390324215727967
27,75,4,PDOF,A,F,CSF,0.43540964129238563
28,75,4,PDOF,B,F,CSF,0.658570419239246
29,75,4,PDOF,C,F,CSF,0.7089073454214552
30,75,0,PDO,A,AH,CSF,0.9484765477877604
31,75,0,PDO,B,AH,CSF,0.8713567462950546
32,75,0,PDO,C,AH,CSF,1.1801667059171848
33,75,4,PDO,A,F,CSF,3.1181479842310478
34,75,4,PDO,B,F,CSF,2.3776140072513408
35,75,4,PDO,C,F,CSF,2.7594186269506267
36,141,0,PDOF,A,AH,CSF,1.3269162742443208
37,141,0,PDOF,B,AH,CSF,0.4148228012771435
38,141,0,PDOF,C,AH,CSF,1.2582609244785357
39,141,4,PDOF,A,F,CSF,0.6980466010357809
40,141,4,PDOF,B,F,CSF,0.6939944245395391
41,141,4,PDOF,C,F,CSF,0.8723797357968723
42,141,0,PDO,A,AH,CSF,0.9055936898671699
43,141,0,PDO,B,AH,CSF,0.994270529632061
44,141,0,PDO,C,AH,CSF,1.1001357805007694
45,141,4,PDO,A,F,CSF,0.7716008000941321
46,141,4,PDO,B,F,CSF,0.5537290412798013
47,141,4,PDO,C,F,CSF,0.947077958455342
48,23,0,PDOF,A,AH,CSF,1.1229260495719449
49,23,0,PDOF,B,AH,CSF,0.8564941872428071
50,23,0,PDOF,C,AH,CSF,1.020579763185248
51,23,4,PDOF,A,F,CSF,0.9052082908470945
52,23,4,PDOF,B,F,CSF,0.9399748516191709
53,23,4,PDOF,C,F,CSF,0.9598887317093058
54,23,0,PDO,A,AH,CSF,0.4378828578527661
55,23,0,PDO,B,AH,CSF,0.4243448331078195
56,23,0,PDO,C,AH,CSF,2.1377723090394145
57,23,4,PDO,A,F,CSF,0.8497017993472976
58,23,4,PDO,B,F,CSF,0.8957282084396554
59,23,4,PDO,C,F,CSF,0.9003519815069086
60,109,0,PDOF,A,AH,CSF,1.0607103913200904
61,109,0,PDOF,B,AH,CSF,0.9392896086799095
62,109,4,PDOF,A,F,CSF,0.9047602855184075
63,109,4,PDOF,B,F,CSF,0.9171576081671218
64,109,4,PDOF,C,F,CSF,1.9251387124100894
65,109,0,PDO,A,AH,CSF,1.0223096823067597
66,109,0,PDO,B,AH,CSF,0.9776903176932404
67,109,4,PDO,A,F,CSF,1.1552216916926419
68,109,4,PDO,B,F,CSF,1.147659176101421
69,109,4,PDO,C,F,CSF,1.2557488657022582
70,99,0,PDOF,A,AH,CSF,1.2120769015942763
71,99,0,PDOF,B,AH,CSF,0.4343320099499625
72,99,0,PDOF,C,AH,CSF,1.353591088455761
73,99,4,PDOF,A,F,CSF,0.6178738877813283
74,99,4,PDOF,B,F,CSF,0.5294377643106978
75,99,4,PDOF,C,F,CSF,0.5873208790587708
76,99,0,PDO,A,AH,CSF,0.8833209490184063
77,99,0,PDO,B,AH,CSF,0.9629323971264502
78,99,0,PDO,C,AH,CSF,1.1537466538551433
79,99,4,PDO,A,F,CSF,0.7928005309553476
80,99,4,PDO,B,F,CSF,0.6096829126786323
81,99,4,PDO,C,F,CSF,0.5903717056529623
82,11,0,PDOF,A,AH,CSF,1.100546713976998
83,11,0,PDOF,B,AH,CSF,0.7416878589598517
84,11,0,PDOF,C,AH,CSF,1.15776542706315
85,11,4,PDOF,A,F,CSF,0.758769893882685
86,11,4,PDOF,B,F,CSF,0.7143974788620414
87,11,4,PDOF,C,F,CSF,0.7509434322191508
88,11,0,PDO,A,AH,CSF,0.8923669096677141
89,11,0,PDO,B,AH,CSF,0.951916428358823
90,11,0,PDO,C,AH,CSF,1.155716661973463
91,11,4,PDO,A,F,CSF,0.9864099541837404
92,11,4,PDO,B,F,CSF,0.9658880784100677
93,11,4,PDO,C,F,CSF,1.0158532364909951
94,216,0,PDOF,A,AH,CSF,1.0898403757713935
95,216,0,PDOF,B,AH,CSF,0.8351557773509523
96,216,0,PDOF,C,AH,CSF,1.0750038468776542
97,216,4,PDOF,A,F,CSF,1.020317949281847
98,216,4,PDOF,B,F,CSF,0.9976741657219139
99,216,4,PDOF,C,F,CSF,1.0089999171298891
100,216,0,PDO,A,AH,CSF,1.0038327767973152
101,216,0,PDO,B,AH,CSF,1.0624476173407182
102,216,0,PDO,C,AH,CSF,0.9337196058619667
103,216,4,PDO,A,F,CSF,1.018708644389555
104,216,4,PDO,B,F,CSF,1.0096979679970715
105,216,4,PDO,C,F,CSF,1.0286265676143174
106,5,0,PDOF,A,AH,CSF,1.0638163827580231
107,5,0,PDOF,B,AH,CSF,0.6455043153866249
108,5,0,PDOF,C,AH,CSF,1.2906793018553517
109,5,4,PDOF,A,F,CSF,0.4832513451360462
110,5,4,PDOF,B,F,CSF,0.4811854969402017
111,5,4,PDOF,C,F,CSF,0.5888178410629229
112,5,0,PDO,A,AH,CSF,0.7208563630779591
113,5,0,PDO,B,AH,CSF,1.0043972127352965
114,5,0,PDO,C,AH,CSF,1.274746424186744
115,5,4,PDO,A,F,CSF,0.7367232498376599
116,5,4,PDO,B,F,CSF,0.6439607145767025
117,5,4,PDO,C,F,CSF,0.6882355620735264
